annotator_id,confidence,context,explanation,human_label,id,is_borderline,language,model_response,prompt,task_type
user1,3,"Петр I ввел гражданский календарь, создал Академию наук в 1724 году, перенес столицу в Санкт-Петербург в 1712 году и разрешил женщинам участвовать в светских мероприятиях.","Галлюцинация на уровне предложения: Московский университет создан в 1755 году при Елизавете Петровне, а не Петром I. Обязательное образование для дворян введено позже.",hallucination,hall_001,False,,"Петр I создал Московский университет в 1701 году и ввел обязательное образование для всех дворян, что значительно повысило грамотность населения.",Какие реформы провел Петр I в области культуры?,hallucination
user1,3,"Транзистор - это полупроводниковый прибор, который может усиливать электрические сигналы и работать как электронный ключ. Он состоит из трех слоев полупроводника (эмиттер, база, коллектор) и управляется небольшим током базы.","Галлюцинация на уровне предложения: описан принцип реле, а не транзистора. Транзистор - полностью электронное устройство без механических частей.",hallucination,hall_002,False,,"Транзистор действует как электромеханическое реле, где механическое движение контактов создает электрическое соединение между цепями. Основное преимущество - отсутствие износа деталей.",Объясни принцип действия транзистора,hallucination
user1,3,"Финансовый кризис 2008 года вызван обрушением рынка ипотечных ценных бумаг, чрезмерным кредитованием слабых заемщиков, ложными рейтингами от агентств и отсутствием регулирования деривативов.","Галлюцинация на уровне связей: причинно-следственная связь ошибочна. Отказ от золотого стандарта относится к 1971, не связан напрямую с кризисом 2008.",hallucination,hall_003,False,,"Кризис 2008 года был вызван отказом США от золотого стандарта в 1971 году, что привело к неконтролируемой эмиссии доллара и гиперинфляции в американской экономике.",Какие факторы привели к кризису 2008 года?,hallucination
user1,3,"CRISPR-Cas9 - это система редактирования генома, использующая бактериальный механизм иммунитета. Cas9 - белок-нуклеаза, который разрезает ДНК в заданном месте под управлением РНК-гидов.","Галлюцинация на уровне предложения: описан синтез белков, а не редактирование генома. CRISPR работает с ДНК, а не синтезирует белки.",hallucination,hall_004,False,,"CRISPR-Cas9 - это метод синтеза новых белков из аминокислот, разработанный в MIT в 2015 году для производства фармацевтических препаратов.",Что такое CRISPR-Cas9?,hallucination
user1,3,"Блокчейн Bitcoin использует консенсус Proof-of-Work: майнеры решают криптографические задачи для создания блоков. Каждый блок содержит хеш предыдущего, формируя неизменную цепочку. Максимальная эмиссия ограничена 21 миллионом BTC.","Галлюцинация на уровне сущностей: Bitcoin использует Proof-of-Work, а не Proof-of-Stake. Описан механизм Ethereum 2.0.",hallucination,hall_005,False,,"Bitcoin использует алгоритм Proof-of-Stake, где валидаторы выбираются случайно на основе количества монет. Это делает систему более экологичной и быстрой, чем энергозатратный майнинг.",Как работает блокчейн Bitcoin?,hallucination
user1,3,Бостонское чаепитие 1773 года - акция протеста против налога на чай. Колонисты в штате Массачусетс выбросили в море груз чая. Это привело к принятию Коэрсивных актов и ускорило революцию.,"Множественные галлюцинации: война началась в 1775, Вашингтон стал президентом в 1789. Ошибки в датах и связях событий.",hallucination,hall_006,False,,Бостонское чаепитие привело к немедленному началу Войны за независимость в 1774 году и избранию Джорджа Вашингтона президентом США в том же году.,Какие последствия имела Бостонская чайная вечеринка?,hallucination
user1,3,"Квантовая запутанность - феномен, когда две частицы остаются связанными так, что состояние одной мгновенно определяет состояние другой, независимо от расстояния. Это не позволяет передавать информацию быстрее света.",Галлюцинация на уровне связей: запутанность не позволяет передавать информацию быстрее света. Это фундаментальное ограничение.,hallucination,hall_007,False,,"Запутанность позволяет мгновенно передавать информацию между любыми точками Вселенной, обходя ограничение скорости света и делая возможным сверхсветовые космические путешествия.",Объясни концепцию квантовой запутанности,hallucination
user1,3,"ML решает задачи классификации, регрессии, кластеризации, понижения размерности и обучения с подкреплением. Требует данных для обучения и валидации на отложенной выборке.",Галлюцинация на уровне предложения: ML всегда требует данных для обучения. Невозможно обучение без входных данных.,hallucination,hall_008,False,,"Машинное обучение позволяет компьютерам программировать себя самостоятельно без каких-либо входных данных, используя только внутреннюю логику и интуицию.",Какие задачи решает машинное обучение?,hallucination
user1,3,"Антибиотики - вещества, убивающие или подавляющие рост бактерий. Действуют на клеточную стенку, рибосомы или ДНК бактерий. Неэффективны против вирусов.",Галлюцинация на уровне сущностей и связей: антибиотики не являются вакцинами и не действуют на вирусы. Перепутаны разные классы препаратов.,hallucination,hall_009,False,,"Антибиотики - это вакцины, которые создают иммунитет против вирусных инфекций, таких как грипп и COVID-19, стимулируя выработку антител.",Что такое антибиотики?,hallucination
user1,3,Фотосинтез - процесс превращения световой энергии в химическую. В хлоропластах происходит световая фаза с выделением кислорода и темновая фаза (цикл Кальвина) с синтезом глюкозы из CO2.,"Галлюцинация на уровне предложения: описано дыхание в митохондриях, а не фотосинтез в хлоропластах. Полностью противоположный процесс.",hallucination,hall_010,False,,"Фотосинтез происходит в митохондриях, где растения поглощают кислород и выделяют углекислый газ для производства энергии, точно так же как животные.",Как происходит фотосинтез в растениях?,hallucination
